Open,High,Low,Close,Volume,Stock,Date
434.989990234375,447.3299865722656,433.5,440.8599853515625,8413100,NFLX,2023-11-04
183.12271513340767,184.14134389926085,181.77454479216084,183.70193481445312,57462900,AAPL,2023-11-04
4366.2900390625,4391.81982421875,4337.85009765625,4372.58984375,4252110000,^GSPC,2023-11-04
333.6336270011477,338.3237093626871,332.10686069249385,336.6272888183594,26003800,MSFT,2023-11-04
123.0999984741211,124.05000305175781,121.44999694824219,123.66999816894531,30592300,GOOGL,2023-11-04
4365.330078125,4439.2001953125,4362.60009765625,4425.83984375,4176690000,^GSPC,2023-11-03
444.1000061035156,448.6499938964844,439.5,445.2699890136719,7099900,NFLX,2023-11-03
183.71193194142057,186.2684772778539,183.5321667521524,185.7591552734375,65433200,AAPL,2023-11-03
123.13999938964844,125.45999908447266,122.4000015258789,125.08999633789062,35246300,GOOGL,2023-11-03
336.7670051079677,349.1008770841443,336.48759789193105,347.36456298828125,38899100,MSFT,2023-11-03
4440.9501953125,4448.47021484375,4407.43994140625,4409.58984375,6848600000,^GSPC,2023-11-02
350.5777468219982,350.72742381496835,341.2275484062125,341.6067199707031,46533600,MSFT,2023-11-02
446.1499938964844,447.510009765625,430.8999938964844,431.9599914550781,8745500,NFLX,2023-11-02
125.93000030517578,126.11000061035156,123.27999877929688,123.52999877929688,45514000,GOOGL,2023-11-02
186.47818046053334,186.73783958924915,184.0215064339309,184.67062377929688,101235600,AAPL,2023-11-02
338.59313263768996,341.35726945729306,335.15040931912563,337.3357849121094,26375400,MSFT,2023-11-01
184.16131632379705,185.84903970115826,184.16131632379705,184.760498046875,49799100,AAPL,2023-11-01
4396.10986328125,4400.14990234375,4367.18994140625,4388.7099609375,4055790000,^GSPC,2023-11-01
122.93000030517578,124.56999969482422,122.13999938964844,123.0999984741211,26097500,GOOGL,2023-11-01
430.17999267578125,440.0,430.0,434.70001220703125,4756000,NFLX,2023-11-01
184.65064889376922,185.15997089092158,182.3437664588452,183.71192932128906,49515700,AAPL,2023-10-31
122.4000015258789,122.66000366210938,120.0999984741211,120.55000305175781,30306300,GOOGL,2023-10-31
335.65931574908313,337.01645818946224,331.3684129299585,332.8552551269531,25117800,MSFT,2023-10-31
432.6499938964844,434.54998779296875,422.5400085449219,424.45001220703125,5146400,NFLX,2023-10-31
4380.009765625,4386.22021484375,4360.14013671875,4365.68994140625,3709330000,^GSPC,2023-10-31
422.92999267578125,424.7099914550781,418.67999267578125,422.4800109863281,4869500,NFLX,2023-10-30
4355.39990234375,4382.25,4351.81982421875,4381.89013671875,3511000000,^GSPC,2023-10-30
183.49221980695384,186.79775361246232,183.422306892294,186.74781799316406,51245300,AAPL,2023-10-30
333.41409281699464,339.40141649153355,332.6357419574287,338.9922790527344,23556800,MSFT,2023-10-30
120.0,123.23999786376953,118.83000183105469,123.1500015258789,26952200,GOOGL,2023-10-30
4354.169921875,4366.5498046875,4341.33984375,4348.330078125,6053620000,^GSPC,2023-10-29
333.65355508938256,337.2459551593805,332.7455045211022,334.3121643066406,23084700,MSFT,2023-10-29
121.37999725341797,122.79000091552734,121.05999755859375,122.33999633789062,34885300,GOOGL,2023-10-29
418.5899963378906,425.82000732421875,417.7300109863281,424.0199890136719,8293900,NFLX,2023-10-29
185.29977218365863,187.30705603211652,184.76049188882976,186.42823791503906,53079300,AAPL,2023-10-29
4344.83984375,4362.06005859375,4328.080078125,4328.81982421875,3415030000,^GSPC,2023-10-28
422.44000244140625,430.9599914550781,414.8999938964844,415.94000244140625,4640000,NFLX,2023-10-28
120.76000213623047,122.0,118.2699966430664,118.33999633789062,33969900,GOOGL,2023-10-28
333.01493964849345,335.3998743787694,327.7959782838698,327.90576171875,21520600,MSFT,2023-10-28
186.57805067120458,187.79640664906898,184.9802022692872,185.02015686035156,48088700,AAPL,2023-10-28
185.6393095002511,188.13593801859233,185.41960497158018,187.80638122558594,50730800,AAPL,2023-10-27
417.3900146484375,420.8800048828125,411.5,417.0799865722656,4818100,NFLX,2023-10-27
4337.35986328125,4384.419921875,4335.0,4378.41015625,3573500000,^GSPC,2023-10-27
117.08000183105469,119.08000183105469,116.0999984741211,118.33000183105469,39535900,GOOGL,2023-10-27
331.15886268738234,335.4398077044517,328.604273651623,333.8631591796875,24354100,MSFT,2023-10-27
